TITLE,AUTHOR,HATHI_ID,PUBLISHER,YEAR,GENDER,RACE,NATIONALITY,GENRE,YEAR_CORRECT
The Farmers Hotel : | a novel / | $c: by John O'Hara.,"O'Hara, John,",mdp.39015000551294,New York|Random House|c1951.,1951,male,white,american,LIT,1951
The China run; | a book of stories.,"Paterson, Neil,",uc1.$b104116,New York|Random House|1951,1951,male,white,scottish,LIT,1951
The storm cloud.,"Rogers, Lettie Hamlett,",mdp.39015059415029,New York|Random House|1951,1951,female,white,american,LIT,1951
The troubled air.,"Shaw, Irwin,",uc1.32106002144852,New York|Random House|1951,1951,M,Caucasian,American,LIT,1951
A little night music.,"Ward, Mary Jane,",mdp.39015001538621,New York|Random House|1951,1951,F,Caucasian,American,ROM,1951
"20 great tales of murder, | $c: by experts of the Mystery Writers of America. Edited by Helen McCloy and Brett Halliday [pseud.] Pref. by Baynard Kendrick.",,uc1.$b114458,New York|Random House|1951,1951,na,na,na,DET,1951
A History Of The World In 10 12 Chapters,"Barnes, Julian",,Random House,1952,M,Caucasian,British,LIT,1989
A Fishy Adventure,"Clarrain, Dean",,Random House,1952,M,,American,YA,1990
A Horse Called Raven,"Farley, Steven",,Random House,1952,M,Caucasian,American,YA,1998
A Gathering Of Old Men,"Gaines, Ernest J",,Random House,1952,M,Black,American,LIT,1983
A Gift For The Little Master,"Gray, John",,Random House,1952,M,Caucasian,American,DET,2000
A Kiss Between Friends,"Haft, Erin",,Random House,1952,M,Caucasian,American,ROM,2000
A Horse For Mary Beth,"Hart, Alison",,Random House,1952,F,Caucasian,American,YA,1994
A Flea Story,"Lionni, Leo",,Random House,1952,M,Caucasian,Italian,YA,1977
A House For Mr Biswas,"Naipaul, V S",,Random House,1952,M,South Asian,British,LIT,"1995, 1961"
A Fish Out Of Water,"Palmer, Helen",,Random House,1952,F,Caucasian,American,YA,1961
A Flying Birthday Cake?,"Sachar, Louis",,Random House,1952,M,Caucasian,American,YA,1999
The hunted woman.,"Albrand, Martha.",uc1.b3464212,New York|Random House|1952,1952,F,Caucasian,American,ROM,1952
The brotherhood of fear.,"Ardrey, Robert.",uc1.b4099815,New York|Random House|1952,1952,male,white,american,DET,1952
Let it come down.,"Bowles, Paul,",mdp.39015008453170,New York|Random House|1952,1952,male,white,american,LIT,1952
Bread from heaven | $c: [by] Henrietta Buckmaster [pseud.],"Buckmaster, Henrietta.",uc1.$b119870,New York|Random House|1952,1952,F,Caucasian,American,LIT,1952
Ashes / | $c: Charles Francis Coe.,"Coe, Charles Francis,",mdp.49015002987338,New York|Random House|1952.,1952,male,white,na,DET,1952
Invisible man.,"Ellison, Ralph.",uc1.32106002103940,New York|Random House|1952,1952,M,Black,American,LIT,1952
Ghost and flesh; | stories and tales.,"Goyen, William.",mdp.39015016434543,New York|Random House|1952,1952,M,Caucasian,American,ROM,1952
Wild Bill Hickok tames the West / | $c: by Stewart H. Holbrook ; illustrated by Ernest Richardson.,"Holbrook, Stewart H.,",pst.000053705945,New York|Random House|c1952.,1952,male,white,american,WEST,1952
"Warhoop, | two short novels of the frontier.","Kantor, MacKinlay,",mdp.39015005649473,New York|Random House|1952,1952,M,Caucasian,American,WEST,1952
The disguises of love.,"Macauley, Robie.",uc1.b3687540,New York|Random House|1952,1952,male,white,american,ROM,1952
"The eye of the kite, | $c: by Fleming MacLiesh.","MacLiesh, Fleming,",uc1.$b107515,New York|Random House|1952,1952,male,white,american,DET,1952
Rose's last summer.,"Millar, Margaret,",mdp.39015030760915,New York|Random House|1952,1952,female,white,american/ canadian,DET,1952
The frontiers.,"Strachey, John,",uc1.$b105775,New York|Random House|1952,1952,male,white,british,LIT,1952
"Come, fill the cup.","Ware, Harlan.",uc1.b3295277,New York|Random House|1952,1952,male,white,american,LIT,1952
A Place Called Freedom,"Follett, Ken",,Random House,1953,M,Caucasian,British,HIST,1995
A Lesson Before Dying,"Gaines, Ernest J",,Random House,1953,M,Black,American,LIT,1993
A New Star,"Lucas, Helen",,Random House,1953,F,,,YA,1996
A Portrait Of Myself,"Madison, Winifred",,Random House,1953,F,Caucasian?,America,LIT,1979
A Present For Yanya,"Mann, Peggy",,Random House,1953,F,,,LIT,1975
A Part Of The Sky,"Peck, Robert Newton",,Random House,1953,M,Caucasian,American,LIT,1994
A Magic Crystal?,"Sachar, Louis",,Random House,1953,M,Caucasian,American,YA,2000
A Patchwork Planet,"Tyler, Anne",,Random House,1953,F ,Caucasian,American,LIT,1998
A New Coat For Anna,"Ziefert, Harriet",,Random House,1953,F,Caucasian,American,YA,1986
Lookout wife.,"Beaty, Jeanne Kellar.",uc1.b3854094,New York|Random House|1953,1953,female,white,na,ROM,1953
The chain in the heart.,"Creekmore, Hubert,",mdp.39015016444419,New York|Random House|1953,1953,male,white,american,HIST,1953
The unknown quantity.,"Eberhart, Mignon Good,",uc1.b3687669,New York|Random House|1953,1953,female,white,american,DET,1953
The jealous mistress; | $c: translated from the German by Ruth Lachenbruch.,"Elbogen, Paul,",uc1.$b802456,New York|Random House|1953,1953,male,whitte,na,ROM,1953
Far from the customary skies.,"Eyster, Warren,",mdp.39015046832617,New York|Random House|1953,1953,male,white,american,HIST,1953
Lafcadio's adventures. | $c: Translated from the French by Dorothy Bussy.,"Gide, Andr__í_Œ‚í_Œé___í_Œ‚í_Œé__,",mdp.39015008672142,"New York|Vintage Books, a division of Random House|c1953",1953,male,white,french,LIT,1953
"Fifty roads to town, | a novel.","Hamner, Earl.",uc1.$b102504,New York|Random House|1953,1953,M,Caucasian,American,LIT,1953
"A woman as great as the world, | and other fables.","Hawkes, Jacquetta Hopkins,",uc1.$b100754,New York|Random House|1953,1953,female,white,british,LIT,1953
Affair of the heart.,"Lond, Margaret.",mdp.39015001505547,New York|Random House|1953,1953,female,na,na,ROM,1953
The bridges at Toko-roi.,"Michener, James A. (James Albert),",uc1.b4091393,New York|Random House|1953,1953,male,white,american,DET,1953
Ketti Shalom.,"Murdock, James,",mdp.39015007065843,New York|Random House|1953,1953,male,na,na,LIT,1953
"Some faces in the crowd, | short stories","Schulberg, Budd.",uc1.b4437795,New York|Random House|1953,1953,M,Caucasian,American,LIT,1953
A Seadog'S Tale,"Allan, Harriet B",,Random House,1954,F,white,New Zealander,YA,1995
A Question Of Proof,"Amiel, Joseph",,Random House,1954,M,white,American,DET,1993
A Sudden Change Of Heart,"Bradford, Barbara Taylor",,Random House,1954,F,Caucasian,American,ROM,1999
A Tale From The Crypt Carnival,"Courtney, Vincent",,Random House,1954,M,Caucasian,,FAN,1995
A Tale Of Two Cities,"Dickens, Charles",,Random House,1954,M,Caucasian,American,HIST,1993
A Season In Purgatory,"Dunne, Dominick",,Random House,1954,M,Caucasian,American,LIT,1993
A Summer Of Horses,"Fenner, Carol",,Random House,1954,F,Caucasian,American,YA,1989
"A Question Of Murder,","Gilbert, Anthony",,Random House,1954,F,Caucasian,British,DET,1955
A Time To Kill,"Grisham, John",,Random House,1954,M,Caucasian,American,DET,1989
A Summer Smile,"Johansen, Iris",,Random House,1954,F,Caucasian,American,DET,1985
A Sight For Sore Eyes,"Rendell, Ruth",,Random House,1954,F,Caucasian,British,LIT,1999
A Soldier'S Duty,"Ricks, Thomas E",,Random House,1954,M,Caucasian,American,LIT,2000
A Time To Die,"Smith, Wilbur A",,Random House,1954,M,Caucasian,South African,LIT,1989
A Time For Loving,"Tarr, Herbert",,Random House,1954,M,Caucasian,American,LIT,1973
Sayonara / | $c: James A. Michener.,"(James Albert), Michener, James A.",mdp.39015004647072,New York|Random House|c1954.,1954,male,white,american,LIT,1954
Hackenfeller's Ape / | $c: by Brigid Brophy.,"Brophy, Brigid,",uc1.b3897641,"New York|Random House|1954, c1953.",1954,F,Caucasian,British,LIT,1954
"The exploits of Sherlock Holmes, | $c: by Adrian Conan Doyle and John Dickson Carr.","Doyle, Adrian Conan.",mdp.39015066052724,"New York|Random|1976, c1954.",1954,male,white,british,DET,1954
A fable.,"Faulkner, William,",mdp.39015017691224,New York|Random House|1954,1954,M,Caucasian,American,LIT,1954
The Faulkner reader : | selections from the works of William Faulkner.,"Faulkner, William,",mdp.39015047512614,New York|Random House|1954,1954,male,white,american,LIT,1954
"Giveaway, | a novel.","Fisher, Steve,",uc1.$b104207,New York|Random House|1954,1954,male,white,american,ROM,1954
A long time since morning.,"Griffith, Leon Odell.",mdp.39015000621816,New York|Random House|1954,1954,male,white,american,LIT,1954
The desperate hours : | a novel / | $c: by Joseph Hayes.,"Hayes, Joseph,",uc1.b3688373,New York|Random House|1954,1954,male,white,american,DET,1954
No time for sergeants / | $c: Mac Hyman.,"Hyman, Mac,",mdp.39015031779963,New York|Random House|1954,1954,M,Caucasian,American,HIST,1954
The world in the evening.,"Isherwood, Christopher,",mdp.39015046831684,New York|Random House|1954,1954,M,Caucasian,British,LIT,1954
Beyond the barriers of space and time.,"Merril, Judith,",mdp.39015030764453,New York|Random House|1954,1954,female,white,american/canadian,SCI,1954
Wives and lovers.,"Millar, Margaret,",uc1.$b106309,New York|Random House|1954,1954,F,Caucasian,American,ROM,1954
The day of the lion; | a novel. | $c: Translated from the Italian by Ben Johnson.,"Rimanelli, Giose,",uc1.$b453290,New York|Random House|1954,1954,male,white,italian,HIST,1954
"Bride of the conqueror, | a novel.","Spence, Hartzell,",uc1.$b105629,New York|Random House|1954,1954,male,white,american,HIST,1954
A Whole New Light,"Brown, Sandra",,Random House,1955,F,Caucasian,American,ROM,1989
A Touch Of Darkness,"Crowe, John",,Random House,1955,M,Caucasian,American,DET,1972
A Virtuous Woman,"Gibbons, Kaye",,Random House,1955,F,white,American,LIT,1989
A Very Proper Death,"Juniper, Alex",,Random House,1955,F,Caucasian,Australian,DET,1990
A Visitation Of Spirits,"Kenan, Randall",,Random House,1955,M,Black,American,LIT,2000
A Woman By Design,"Kennett, Frances",,Random House,1955,F,Caucasian,British,LIT,1988
A Wilderness Station,"Munro, Alice",,Random House,1955,F,Caucasian,Canadian,LIT,1997
A Way In The World,"Naipaul, V S",,Random House,1955,M,South Asian,British,HIST,1994
A Visit To Sleep'S House,"Osborne, Mary Pope",,Random House,1955,F,Caucasian,American,YA,1989
A To Z Mysteries The Canary Caper,"Roy, Ron",,Random House,1955,M,Caucasian,American,YA,1998
A To Z Mysteries The Falcon'S Feathers,"Roy, Ron",,Random House,1955,M,Caucasian,American,YA,1998
A To Z Mysteries The Goose'S Gold,"Roy, Ron",,Random House,1955,M,Caucasian,American,DET,1999
A To Z Mysteries The Haunted Hotel,"Roy, Ron",,Random House,1955,M,Caucasian,American,YA,1999
A To Z Mysteries The Invisible Island,"Roy, Ron",,Random House,1955,M,Caucasian,American,YA,1999
A To Z Mysteries The Jaguar'S Jewel,"Roy, Ron",,Random House,1955,M,Caucasian,American,YA,2000
A To Z Mysteries The Lucky Lottery,"Roy, Ron",,Random House,1955,M,Caucasian,American,YA,2000
Grandfather stories.,"Adams, Samuel Hopkins,",mdp.39015014667532,New York|Random House|1955,1955,male,white,american,HIST,1955
Sierra baron.,"Blackburn, Thomas Wakefield.",uc1.$b86116,New York|Random House|1955,1955,male,white,american,WEST,1955
The spider's house.,"Bowles, Paul,",mdp.39015010344326,New York|Random House|1955,1955,M,Caucasian,American,LIT,1955
"Other voices, other rooms.","Capote, Truman,",inu.30000003143397,"New York|Random House|1955, c1948",1955,M,Caucasian,American,LIT,1955
No country for old men.,"Eyster, Warren,",mdp.39015016443007,New York|Random House|1955,1955,M,white,American,DET,1955
Big woods / | $c: by William Faulkner ; decorations by Edward Shenton.,"Faulkner, William,",mdp.39015003479519,New York|Random House|1955.,1955,M,Caucasian,American,LIT,1955
Take all you can get.,"Fisher, Steve,",uc1.b3687786,New York|Random House|1955,1955,male,white,american,DET,1955
Chains of command.,"Goethals, Thomas.",uc1.$b102638,New York|Random House|1955,1955,male,white,american,LIT,1955
In a farther country; | a romance.,"Goyen, William.",uc1.b3688161,New York|Random House|1955,1955,male,white,american,ROM,1955
Beyond desire; | a novel based on the life of Felix and C__í_Œ‚í_Œé___í_Œ‚í_Œé__cile Mendelssohn.,"La Mure, Pierre.",uc1.b3710735,New York|Random House|1955,1955,M,Caucasian,French,,1955
Ten North Frederick / | $c: John O'Hara.,"O'Hara, John,",mdp.39015000594930,New York|Random House|1955.,1955,M,Caucasian,American,LIT,1955
The dark arena.,"Puzo, Mario,",mdp.39015000599566,New York|Random House|c1955,1955,male,white,american,DET,1955
Waterfront : | a novel / | $c: by Budd Schulberg.,"Schulberg, Budd.",mdp.39015002719717,New York|Random House|1955.,1955,male,white,american,LIT,1955
The angry hills.,"Uris, Leon,",uiuc.252368,New York|Random House|1955,1955,M,white,American,LIT,1955
Band of angels.,"Warren, Robert Penn,",mdp.39015014858511,New York|Random House|1955,1955,male,white,american,ROM,1955
Heritage.,"West, Anthony,",mdp.39015014858743,New York|Random House|1955,1955,male,white,british,LIT,1955
Alfred Hitchcock And The Three Investigators In The Mystery Of The Deadly Double,"Arden, William",,Random House,1956,M,Caucasian,American,DET,1978
Alfred Hitchcock And The Three Investigators In The Mystery Of The Headless Horse,"Arden, William",,Random House,1956,M,Caucasian,American,DET,1977
Against Heaven'S Hand,"Bishop, Leonard",,Random House,1956,M,Caucasian,American,LIT,1963
Alfred Hitchcock And The Three Investigators In The Mystery Of The Invisible Dog,"Carey, M V",,Random House,1956,F,Caucasian,American,DET,1975
Airframe,"Crichton, Michael",,Random House,1956,M,Caucasian,American ,LIT,1996
Adam Bede,"Eliot, George",,Random House,1956,M,Caucasian,British,ROM,1992
Ace Ventura,"Fontes, Ron",,Random House,1956,M,Caucasian,American,YA,1995
Adventures In Time And Space,"Healy, Raymond J",,Random House,1956,M,Caucasian?,American,SCI,1957
Alaska,"Michener, James A",,Random House,1956,M,Caucasian,American,HIST,1988
Aggie'S Home,"Nixon, Joan",,Random House,1956,F,Caucasian,American,YA,2000
Afternoon On The Amazon,"Osborne, Mary Pope",,Random House,1956,F,Caucasian,American,YA,1995
Alanna,"Pierce, Tamora",,Random House,1956,F,Caucasian,American,YA,1997
Alanna The First Adventure,"Pierce, Tamora",,Random House,1956,F,Caucasian,American,FAN,1984
Addie And The King Of Hearts,"Rock, Gail",,Random House,1956,female,white,american,YA,1976
"Adieu, Volodya","Signoret, Simone",,Random House,1956,F,Caucasian,German,DET,1986
Accidental Lily,"Warner, Sally",,Random House,1956,F,Caucasian,American,YA,1999
The Linden affair.,"Albrand, Martha.",uc1.b3464210,New York|Random House|1956,1956,F,Caucasian,American,ROM,1956
The murder of Whistler's brother : | a Bart Hardin mystery novel / | $c: by David Alexander.,"Alexander, David,",osu.32435017682261,New York|Random House|c1956.,1956,male,white,american,DET,1956
Your own beloved sons.,"Anderson, Thomas,",mdp.39015016454202,New York|Random House|1956,1956,male,white,american,DET,1956
"And walk in love, | a novel based on the life of the Apostle Paul.","Buckmaster, Henrietta, pseud.",mdp.39015050916751,New York|Random House|1956,1956,female,white,american,HIST,1956
"The muses are heard, | an account.","Capote, Truman,",mdp.39015035308140,New York|Random House|1956,1956,M,Caucasian,American,ROM,1956
The frontiers of love.,"Chang, Diana (Diana C.)",uc1.$b600004,New York|Random House|c1956.,1956,female,asian,"american, chinese",LIT,1956
"Savrola, | a tale of the revolution in Laurania.","Churchill, Winston,",mdp.39015008816749,New York|Random House|1956,1956,male,white,british,HIST,1956
Angel's ransom / | $c: David Dodge.,"Dodge, David,",mdp.39015016442421,New York|Random House|c1956.,1956,male,white,american,DET,1956
Crime and punishment / | $c: translated from the Russian by Constance Garnett ; introd. by Clefton Fadiman ; illus. by Benjamin Kopman.,"Dostoyevsky, Fyodor,",mdp.39015002631177,New York|Random House|1956.,1956,male,white,Russian,LIT,1956
Sartoris.,"Faulkner, William,",uc1.32106012308430,New York|Random House|1956.,1956,M,Caucasian,American,LIT,1956
Of human bondage / | $c: With an introd. by Richard A. Cordell.,"Maugham, W. Somerset (William Somerset),",pst.000030847026,New York|Random House|1956].,1956,male,white,british,LIT,1956
The valley of God.,"Patai, Irene.",uc1.$b56195,New York|Random House|1956,1956,female,white,american,HIST,1956
The three legions / | $c: Gregory Solon.,"Solon, Gregory,",mdp.39015014312980,New York|Random House|c1956.,1956,male,white,na,HIST,1956
The great captains / | $c: Henry Treece.,"Treece, Henry,",mdp.39015005539567,New York|Random House|1956.,1956,M,Caucasian,British,FAN,1956
The big nickelodeon / | $c: Maritta Wolff.,"Wolff, Maritta,",mdp.39015014859477,New York|Random House|1956.,1956,female,white,american,ROM,1956
Alfred Hitchcock And The Three Investigators In The Mystery Of The Moaning Cave,"Arden, William",,Random House,1957,M,Caucasian,American,DET,1968
All The Days Of My Life,"Bailey, Hilary",,Random House,1957,F,Caucasian,British,LIT,1984
Alien Under My Bed,"Black, J R",,Random House,1957,,,,YA,1994
All Together Now,"Bridgers, Sue Ellen",,Random House,1957,F,Caucasian,American,LIT,1979
Alfred Hitchcock And The Three Investigators In The Mystery Of The Singing Serpent,"Carey, M V",,Random House,1957,F,Caucasian,American,DET,1972
"Alice In Wonderland,","Carroll, Lewis",,Random House,1957,M,Caucasian,British,YA,1955
Alice'S Adventures In Wonderland,"Carroll, Lewis",,Random House,1957,M,Caucasian,British,YA,1988
Alpine Icon,"Daheim, Mary",,Random House,1957,F,Caucasian,American,ROM,1997
Alpine Condo Crossfire,"Eberhart, Mignon Good",,Random House,1957,F,white,American,DET,1984
Aliens For Breakfast,"Etra, Jonathan",,Random House,1957,M,Caucasian,American,YA,1988
All Stuck Up,"Hayward, Linda",,Random House,1957,F,Caucasian,American,YA,1990
Alias Butch Cassidy,"Henry, Will",,Random House,1957,M,Caucasian,American,WEST,1967
Alfred Hitchcock Presents,"Hitchcock, Alfred",,Random House,1957,M,Caucasian,British,DET,1977
Alfred Hitchcock Presents A Month Of Mystery,"Hitchcock, Alfred",,Random House,1957,M,Caucasian,British,DET,1969
Alfred Hitchcock Presents Stories To Be Read With The Door Locked,"Hitchcock, Alfred",,Random House,1957,M,Caucasian,British,DET,1975
Alfred Hitchcock'S Sinister Spies,"Hitchcock, Alfred",,Random House,1957,M,Caucasian,British,DET,1966
Alfred Hitchcock'S Solve-Them-Yourself Mysteries,"Hitchcock, Alfred",,Random House,1957,M,Caucasian,British,YA,1963
Alfred Hitchcock'S Supernatural Tales Of Terror And Suspense,"Hitchcock, Alfred",,Random House,1957,M,Caucasian,British,LIT,1973
Alfred Hitchcock'S Witch'S Brew,"Hitchcock, Alfred",,Random House,1957,M,Caucasian,British,LIT,1977
Almost Starring Skinnybones,"Park, Barbara",,Random House,1957,F,Caucasian,American,YA,"1999, 1988"
Alida'S Song,"Paulson, Gary",,Random House,1957,M,Caucasian,American,YA,1999
Alone In His Teacher'S House,"Sachar, Louis",,Random House,1957,M,Caucasian,American,YA,1994
Alison,"Watts, Margaret",,Random House,1957,F,,,YA,1995
Alfred Hitchcock And The Three Investigators In The Mystery Of The Nervous Lion,"West, Nick",,Random House,1957,M,Caucasian,American,YA,1971
The trumpet shall sound.,"(Henry Major), Tomlinson, H. M.",mdp.39015014859782,New York|Random House|1957,1957,male,white,british,LIT,1957
The obsession of Emmet Booth.,"Albrand, Martha.",uc1.b3463713,New York|Random House|1957,1957,F,Caucasian,American,ROM,1957
Home before dark.,"Bassing, Eileen,",mdp.39015030855525,New York|Random House|1957,1957,female,white,american,YA,1957
The one that got away | $c: [by] Kendal Burt and James Leasor.,"Burt, Kendal.",uc1.b4009150,"New York|Random House|1957, 1956",1957,male,na,na,DET,1957
Last tales / | $c: Isak Dinesen [pseud.],"Dinesen, Isak,",mdp.39015004166032,New York|Random House|1957.,1957,F,Caucasian,Danish,LIT,1957
A houseful of love.,"Dobkin, Marjorie Housepian,",mdp.39015013792471,New York|Random House|1957,1957,female,white,american,ROM,1957
